opd_date	rte	dir	day_of_week	is_ns	is_rapid	is_weekend	orca_total	frac_disabled	frac_youth	frac_senior	frac_li	frac_uw	ons	region	start	end	type	summer
2019-01-07	70	N	0	1.0	0.0	0.0	3024.0	0.01624032431309498	0.004101258463211989	0.011635711013418771	0.016875548907352773	0.10764184887041847	4276.0	Seattle	University District	Downtown Seattle	Trolley	False
2019-01-07	70	S	0	1.0	0.0	0.0	2999.0	0.01684166048806933	0.003106912654564588	0.010276763790230639	0.017426073581115024	0.07745448516339398	4174.0	Seattle	University District	Downtown Seattle	Trolley	False
2019-01-07	71	S	0	1.0	0.0	0.0	166.0	0.003633720930232558	0.04021317829457364	0.010029069767441862	0.011627906976744186	0.10557170542635658	176.0	Seattle	Wedgwood	University District	Conventional	False
2019-01-07	73	N	0	1.0	0.0	0.0	31.0	0.012345679012345678	0.001763668430335097	0.0	0.0030864197530864196	0.05437977660199882	48.0	Seattle	Jackson Park	University District	Conventional	False
2019-01-07	73	S	0	1.0	0.0	0.0	23.0	0.004807692307692308	0.009615384615384616	0.0	0.049679487179487176	0.1362179487179487	27.0	Seattle	Jackson Park	University District	Conventional	False
2019-01-07	74	N	0	1.0	0.0	0.0	150.0	0.0002920560747663551	0.0007638389647735442	0.0009735202492211837	0.0015734906471574972	0.03420151369917725	197.0	Seattle	Sand Point	University District	Conventional	False
2019-01-07	74	S	0	1.0	0.0	0.0	105.0	0.007537688442211055	0.0007178750897343861	0.005025125628140704	0.009930605407992342	0.040039483129935396	121.0	Seattle	Sand Point	University District	Conventional	False
2019-01-07	75	N	0	1.0	0.0	0.0	654.0	0.006741573033707865	0.022294574963114287	0.009851524879614767	0.011830524344569288	0.10004344860177644	799.0	Seattle	Northgate Transit Center	University District	Conventional	False
2019-01-07	75	S	0	1.0	0.0	0.0	453.0	0.008965314520870075	0.022432970101620892	0.015694549424708153	0.01594256529772403	0.08727481733434114	583.0	Seattle	Northgate Transit Center	University District	Conventional	False
2019-01-07	76	N	0	1.0	0.0	0.0	709.0	0.00037030179596371043	0.0238249530510223	0.0038714829358174278	0.00386296389619361	0.019370392562856917	777.0	Seattle	Wedgwood	Downtown Seattle	Conventional	False
